id,件名,次の一手,担当,待ち先,期日,状態,更新日,出典,st
T060,広報部「メガホ」立ち上げ・YouTube立て直し（8/27社長設置）,"目標=まず1,000再生（KPI定義はメガホが初回分析で提案）。対象チャンネル=@bhellowonder4846（メガホに共有済み）。業務指示書v1を00_連絡板/メガホ（新設 1bhMVcQpVkrZIOq67J2Tn99tc5T0W6c7g）に設置し初回ミッション送付済み: ①公開データで現状分析＋伸びない仮説3つ ②すぐできる対策案（既存動画のタイトル/サムネ改善・概要欄/タグ/再生リスト・ショート切り出し・投稿計画）→8/28中に納品。CSV待ちで止まらない設計（Studio非公開データは社長のCSVエク…（全文は docs/PENDING.md PENDING#60）",社長,メガホ→クロ→社長,承認依頼v2=8/29中／キー再生成=緊急でない,承認依頼をv2へ統合中・企画案は着手GO,2026-8-29,PENDING#60,todo
T061,個人情報の分離とコード化→クラウド納品（8/27 CEO発案）,"法人マスタは正本確定（8/28 社長GO）。01_data＝ReSow法人マスタ_v2.2_2026-08-28.xlsx（fileId 1js6l0ccmNeP29h863OwryEjcLUID8H8t・24,207バイト・サイズ照合済）／v2.1は99_archiveへ格納済（fileId 1qnVqvrOnzEwrOGlIdxF3o7TCZkVBcWyy・23,842バイト）／00_INBOXと01_dataの旧原本はゴミ箱へ。旧版v2はDriveゴミ箱にも残っておらず復旧不能——クロの再アップロード（サイズ…（全文は docs/PENDING.md PENDING#61）",クロ,リン（事業所ID棚卸し）→クロ,採番=9月第1週,法人マスタ完了・採番へ移行,2026-8-28,PENDING#61,todo
T062,会議体3規程の制定（取締役会運営規程・経営会議運営規程・事業執行会議〈コア会議〉運営規程／8/28社長指示）,3規程そろって改訂・納品済（Drive「規程・契約」）：取締役会運営規程v0.3／経営会議運営規程v0.2／事業執行会議（コア会議）運営規程v0.2。旧版はゴミ箱。定款（設立時・令和5年10月認証）で取締役会・監査役の条項なし＝非設置会社で確定。社長方針（本橋さんのショートレビューも同旨）により非設置のまま運営を練習する設計。取締役は現在3名・2026年10月から4名（決定に必要な賛成数は2名→3名へ）。執行役員は取締役に含まれず決定に加わらない。v0.3の要点＝①社内呼称は「取締役会」だが法的には会社法348条2…（全文は docs/PENDING.md PENDING#62）,社長,社長（決定シートの残り記入・野原さん就任の臨時株主総会と登記）→クロ（金額表T-7）,決定シート=9月上旬／取締役会上程=9月,3規程そろって納品・社長記入待ち,2026-8-28,PENDING#62,blocked
T063,職務権限規程の整備（#62の実効性の前提・クロ起票）,会議体3規程だけでは日常の稟議決裁は変わらない。取締役会/経営会議/コア会議の金額表と、部長・課長・管理者の日常決裁を1枚の権限表につなぐ必要がある。#62のv0.2確定後に起案,クロ,クロ,起案=2026年内,起票のみ,2026-8-28,PENDING#63,todo
T064,HDの事業年度・決算期の食い違い（8/28クロ発見・要確認）,設立時定款（令和5年10月13日認証）第28条は「4月1日〜3月31日」だが、社長は「事業年度は10月〜」と説明。決算書インデックスも「HD決算期9月・初決算は令和8年9月期」となっており、定款と実務が一致しない。考えられるのは①定款変更済みでクロが見たのが旧版 ②定款と実務の食い違い（＝定款違反の状態）。②なら計算書類・株主総会承認・税務申告に影響する。最短の確認方法＝法人税申告書の事業年度欄（中村税理士事務所に照会）。あわせて現行定款の所在（グローバル・アイズ法務事務所に控えの有無）と定款変更の株主総会議事録を…（全文は docs/PENDING.md PENDING#64）,社長,社長→中村税理士事務所／クロ,9月上旬（規程の施行日T-13に影響）,起票・未着手,2026-8-28,PENDING#64,blocked
T065,新任取締役（10月就任）の株主総会決議と就任登記,取締役が3名→4名になる。定款第23条により株主総会の決議が必要（議決権の3分の1以上を有する株主が出席し、その過半数）。就任日から2週間以内に変更登記（会社法911条3項13号／915条1項）。司法書士の手配が要る。台湾出張が8/30〜9/3のため、逆算すると9月上旬には臨時株主総会の日程を押さえる必要がある。規程の施行日（2026年10月1日案）とも連動,社長,社長→司法書士,臨時株主総会=9月上旬／登記=就任後2週間,起票・未着手,2026-8-28,PENDING#65,blocked
T066,執行役員の名称に伴う表見代表取締役リスク（クロ指摘）,「社長執行役員」「副社長執行役員」「専務執行役員」等の名称は、会社法354条の表見代表取締役に当たるおそれがある。名刺・契約書・ウェブサイト・パンフレット等の対外表示で、取締役でないことが分かる表記になっているかを点検する。現在の執行役員の有無と名称が未確認のため、まず実態の確認から,社長,クロ→社長,9月中,起票・未着手（実態確認から）,2026-8-28,PENDING#66,blocked
T067,ROOT（GCPデータ基盤）のチャッピー連携・役割分担（8/29社長決定）,9/5: 社長が実行条件を更新→段階2稼働。BQ受入設計は7判断回答済み。残＝ゲートC/Dの社長承認・C-3承認・quality_daily仕様（9/6）。,社長,チャッピー（user_private是正9-1・経費粒度9-2・PSN反映・user_link初回同梱・v0.3）／ルート（提供実績初回とkeep-alive実測）／リン（fmp_user_xwalkの作り方・v0.3レビュー）／バタコ（v0.3レビュー）／社長（移動記録の運用を誰が担うか＝唯一の機構）／クロ（権限主体の分離設計）,提供実績8-31／経費9-2／ジュガール9-3,段階2稼働・BQ設計協議中,2026-9-5,PENDING#67,doing
T068,受給者証フォルダの整理と期限管理の正本（9/2クロ棚卸し）,ファイル名の日付は期限管理に使えない（実物2件を確認。1件は支給決定の開始日、1件は開始日とも満了日とも不一致＝年の打ち間違いと見られる）。直下にPDF61件・事業所別フォルダ18個が未使用（9/2 14:40時点）。日付表記6通り以上・区切り半角/全角・「福岡」「福岡事業所」の揺れ・重複らしきもの6件以上・拡張子なし1件。同一氏名が別2事業所で各1件＝事業所移動が紙の側にも出ている実例。移動・改名・削除はせず、氏名等は書き出していない。RINとの氏名突合は⑥に当たるため未実施。社長判断＝①期限管理の正本をRINに…（全文は docs/PENDING.md PENDING#68）,社長,社長→本部,9月中,起票・社長判断待ち,2026-9-2,PENDING#68,blocked
T069,全体最適の提案6件（9/2社長指示）,最大の弱点＝収集が社長のMac依存。今日の実測でリン夜間ジョブ2日不発・ユカ月次2日スキップ・チサトのマージ3.4日空白が同時発生。提案1（最優先）＝次のMac窓で全16事業所の提供実績を1回取り、事業所別マニフェストが一致すればVMのtimerを有効化。二重管理の終了条件＝事業所別照合が30日連続一致でMac側収集停止（クロ判断）。 提案2 数字の手打ちを元データからの自動生成へ（クロ判断で実施）／提案3 期限管理をしきい値へ（社長判断）／提案4 判断待ちの削減＝報告体制v1で実施済／提案5 ルートとマモルの二重…（全文は docs/PENDING.md PENDING#69）,社長,社長（提案1・3）,次のMac窓,提案済・社長判断待ち,2026-9-2,PENDING#69,blocked
T070,報告体制v1の制定と現況報告の運用（9/2社長指示）,社長に届く定例は朝1本／報告は定例・都度・重大事象の3種類／都度は6項目各3行以内／重大事象5類型は疑いの段階で／判定語を統一（可・条件付き可・不可・判定不能）／継続指摘は3日で1行に圧縮。HANDBOOK 5-2に記載。9/2 15:05の提出＝リン・マモル・チャッピー・ルート済、ユカ・チサト一部、バタコ・メガホ未着。メガホは定例トリガーが0本のまま＝起こされていない可能性が高くクロ側の落ち度。切り分けは9/3朝レポート → 9/3 シルベ: 三代目クロが朝の統合レポートを初回実施。未着2名（バタコ・メガホ）の現…（全文は docs/PENDING.md PENDING#70）,クロ,クロ,9/3朝,運用中・未着2名,2026-9-5,PENDING#70,done
T071,チサトの収集と統合の分離（8/27から保留していたクロ判断・9/2回答）,9/5 13:09 チサトがクラウド定例（毎朝7:00）を再開。9/5分は本体が代行収集。次回9/6 07:04。週次は9/8（月）から。,チサト,チサト,次のMac窓,再開済,2026-9-5,PENDING#71,done
T072,全システムのVM移行と週1相互監視（9/2社長決定）,VMが毎日・従来担当が週1で相互監視の形に統一。順番＝RIN（いま）→バクラク→ジュガール（最初からVM前提で設計）→オフィスステーション。LINE WORKSは月次のため当面Macのまま。同時に2つ移さない。各担当に設計5点（ログイン方式と秘密値の種類名だけ／取得画面と所要時間／規約・レート制限／「全部取れた」の件数定義／メンテ時間帯）を先に出させる。値は絶対に書かせない。バタコ＝バクラク・ジュガール、リン＝RIN・オフィスステーション、ユカ＝LINE WORKS,ルート,ルート／リン／バタコ,RINは次のMac窓,社長承認済・着手,2026-9-2,PENDING#72,todo
T073,受給者証の4項目限定取り込み（9/2社長指示・保管は01_dataの中だけ）,取る＝氏名／開始日／終了日（満了日）／給付日数＋事業所＋原本ファイルID。取らない＝受給者証番号・生年月日・住所・支援区分・負担上限。台帳は `01_data/受給者証_台帳/`、氏名を含むため01_dataの外へ出さない（報告は事業所別件数のみ）。ROOTへは入れない（入れるなら別途⑥の承認）。3段階＝①ファイル名から一覧化（PDFを開かない・日付は「意味未確定」として扱う） ②PDF本文から4項目（自治体1つずつ・読めないものは推測で埋めない） ③RINの支給満了日と突合（一致／証が新しい＝RIN未入力の疑い／…（全文は docs/PENDING.md PENDING#73）,社長,社長（担当決め）→バタコ,9月中,設計提出・担当決め待ち,2026-9-2,PENDING#73,blocked
T074,支給決定期限の事業所別の偏り（9/2社長指示で作成）,シート「支給決定の期限×受給者証の提出_事業所別_2026-09-02」（_共通・氏名なし）。母集団＝利用中556名／9/2 13時。期限切れ54件のうち36件は8月満了（1ヶ月以内）＝更新手続き中とも読める。問題は2ヶ月以上前に切れたまま残る18件。 天王寺4件（うち6ヶ月超3件・全社の6ヶ月超は3件で全部天王寺・最古は2025-03満了）、西成3・十三3・金沢3でこの4事業所が18件中13件。あべのは7件すべて8月満了で古いものゼロ（率15.2%だが性質が違う）。受給者証の提出件数と期限切れ率は逆相関（福井12…（全文は docs/PENDING.md PENDING#74）,社長,クロ→社長・天王寺,9/3→社長確認待ち,提出済・確認の指示待ち,2026-9-3,PENDING#74,blocked
T075,ユカのCode（クラウド）移行と並走（9/2社長指示・本人希望が第1号）,"初代の引き継ぎ書検収合格（11項目＋A-1〜A-3）。クロの前提誤りを訂正: DBはローカルではなく共有ドライブ `LineWoksPJ/lineworks.db`（553MB・443,360件）。触れない理由は①Driveマウント上でSQLiteが開けない ②553MBをコネクタで引けるか未確認、の2点。二代目（Code）`session_015ZPYx2F33BFFGHThXLnCRf` を社長が新設（本文に触れる主体が1つ増える＝⑥は社長判断で実施済み）。クロの決定: ①並走テスト（読むだけ・書かない）GO、…（全文は docs/PENDING.md PENDING#75）",クロ,ユカ二代目→クロ,並走テスト＝9/2中,分割4MB待ち・集計は動作確認済,2026-9-4,PENDING#75,todo
T076,ゴミ箱の一本化とINBOX空運用（9/2社長指示）,9/5 判明：共有ドライブ直下に「_archive」は存在せず、既存は「99_archive」。ルール本文の「_archive（残す記録）」は 99_archive と読み替え。9/5にクロが誤って 01_data/chatwork_DB/_archive/INBOX整理_2026-09-05/ に空フォルダ2つを作らせた→10/5（第1月曜）棚卸しで削除承認を得る。,社長,社長（GO）→ユカ初代,次のMac窓,ルール制定済・移動待ち,2026-9-5,PENDING#76,blocked
T077,チサトの提案B-1〜B-5への回答（9/2）,"チサトは13:18に案Bと同じ構造（クラウド7:00収集→deltas/→Mac7:40マージ・message_id重複排除）を実装・実データ確認済み。クロの15:15指示は後追い（実装済みに指示を出した＝読む順番の誤り）。A-1〜A-3検収合格。B-1完成合図の2段読み（日報＝収集生存／README＝DB反映）採用→巡回便・シルベに反映要。B-2 `_archive/` へ移動承認（全員標準に）。B-3週次サマリ（月曜7:40・件数のみ）採用。B-4バックフィル（未取得42,600件・16.2%）＝「やらない」で…（全文は docs/PENDING.md PENDING#77）",チサト,チサト,週次は9/8（月）から,回答済,2026-9-2,PENDING#77,done
T078,コダマ「決定事項キューの状態列をクロで集約」（9/2社長指示）,引き受け。前提訂正＝クロにもLINEは見えない→「集約して分からない行は社長に聞く」。朝のシルベ手順に「決定事項キューの状態列を見る」を追加（スズ18時転記は廃止済）。分かった行はシルベが根拠付きで埋める／分からない行は朝レポート「今日決めること」に最大3件。コダマの拾い物は `PLAUDデータ/_決定事項キュー` 内へ（連絡板を増やさない）。訂正2件反映: 11/3中央公会堂=アワード中止・フェス形式は決定／生きがいフェスは未確定、9/11運営マニュアル=上田顧問からLINEで受領済→完了。9/11前の4行（音嶋…（全文は docs/PENDING.md PENDING#78）,クロ,クロ→シルベ,9/3朝,引受済・シルベ反映済,2026-9-5,PENDING#78,done
T079,Gmail担当「フミ」の新設（9/2社長提案・クロは置き場所に反対）,社長案＝チャッピー（CIO）の下にGmail担当を置き、メールから報告をクロへ。クロの意見＝機能は賛成・置き場所は反対（①CIOは基盤の責任者でメールは秘書業務・2系統持たせると片方が落ちる ②チャッピーはGCP権限を持つのでメール読取を足すと1人の範囲が広すぎ＝今日ルートに出した権限分離指示と矛盾 ③報告が1段遠くなる）。対案＝クロ直下に独立1名「フミ」。設計はチャッピーに書かせ運用は別人。機能＝新着を期日あり／要返信／予定候補／情報の4区分、クロへ上げるのは期日3日以内・カレンダー候補・3日以上未返信・約束した…（全文は docs/PENDING.md PENDING#79）,社長,社長,未定,提案済・社長判断待ち,2026-9-3,PENDING#79,blocked
T080,ルートの独り立ち＝リンの代わり（9/2社長指示）,段階2まで到達。次＝段階3 利用者マスタ1回取得（社長承認済・チャッピー解除済）→段階4 xlsx/README を _並走_VM/ に生成（リンと同列）→マモル対応表更新。resow.db DDLはクロ承認（9/5）・影DBへ適用可。quality_daily 仕様は9/6クロ提出。,チャッピー,ルート／チャッピー,段階1=次のMac窓,段階2稼働・段階3へ,2026-9-5,PENDING#80,doing
T081,三代目クロの「分散」方針（9/2 社長指示「軽くなるようにチャットを分散していく」）,二代目は5.8日でcache_read 107.5M＝自分で決めた交代基準90Mを17.5M超過。原因は「毎ターン全履歴を再送する」構造で、窓（アプリ/ターミナル/iPhone）を替えても軽くならない。対策は①仕事を別セッションへ出す ②プログラムにする ③大きなツール結果を履歴に残さない、の3つだけ。三代目の上限＝自分に紐づく定例トリガーは3本まで（巡回便・朝の統合・連携便）／月次2本は別セッションへ／大きな取得は必ずファイル経由。分けた分は巡回便で見る（分けただけだと止まったことに誰も気づかない＝9/2にメガホ…（全文は docs/PENDING.md PENDING#81）,クロ,三代目クロ,着任直後,方針確定・未実行,2026-9-2,PENDING#81,todo
T082,プログラム化の推進（9/2 社長指示「プログラム化も進めていこう」）,原則＝プログラムが「数える」、AIが「決める」。プログラム化の判定基準3つ（①同じ手順を3回以上やった ②入力が同じなら出力が必ず同じ ③判断が「〜なら〜」で書ける）が揃ったらコードにする。第1候補＝(a)使用量の日次記録（get_sessionのcache_readを毎日1行）(b)RIN日次集計とover_capacity_day判定 (c)支給決定期限の残日数計算としきい値判定 (d)受給者証フォルダの件数棚卸し (e)トリガー一覧と「触ってはいけない表」の突合。いずれも判断を含まないのでAIのターンを使う必…（全文は docs/PENDING.md PENDING#82）,クロ,三代目クロ→チャッピー,第1候補の仕分け=着任週,方針確定・未着手,2026-9-3,PENDING#82,todo
T083,ポーリング停止（push型へ）（9/2夜 社長「cronでできるのはそうしよう」）,外部助言の72本/日を実査→確実に数えられる空振りは36本/日（連絡板3時間おき×3＝24・Gmail2時間おき＝12）。ユカ初代の「毎時巡回24本」は実在せず（HANDBOOK誤記・実態は3時間おき）。ユカ初代は9/2 12:49〜18:37に月次完了・現況・引き継ぎ書を出しており稼働中。9/3 00:45 連絡板確認3本を enabled=false（-24/日）、_共通に全員向け告知、3人を一回ものトリガーで起こして受領を求めた（01:40に着地確認・1件でも無ければ戻す）。巡回便に(2b)「未読指示の起こし…（全文は docs/PENDING.md PENDING#83）,社長,三代目クロ→社長（Gmail頻度）,効果測定 9/3〜9/5 社長の使用量%を1日1回,実施済（起こし方式で運用中）,2026-9-5,PENDING#83,done
T084,カオナビ：転籍時に入社日を上書きしない運用にできるか（9/4 社長指示「カオナビの使用上いるのかもしれないので確認しておく」）,社長が管理本部／カオナビ側に確認する。論点＝①転籍時に入社日を当該法人への移籍日で上書きするのは、カオナビの仕様上（社会保険・給与計算・勤続年数表示など）必要なのか ②必要な場合、グループ通算の入社日を別項目（カスタム項目）で持てるか。確認できるまで、勤続年数・定着率・会社別離職率は台帳の値をそのまま使わない。根拠＝2026-04-01付で「入社」となっている14名のうち11名は社員番号の採番年が2024年以前で、実際にはそれ以前から在籍（例：社員番号23035・COCO・統括が勤続4ヵ月表示）。,社長,社長→管理本部,-,社長確認待ち,2026-9-4,PENDING#84,blocked
T085,ルートをリンの代替へ（RIN収集のMac依存を解消）（9/4 社長指示）,リスク：VMの04:00自動停止がバックフィル（18:57開始・約12h）を切る可能性。クロ判断＝完了まで停止スケジュールを一時解除（チャッピーが差分確認後）。明朝07:01で①02:30無人運転16/16 ②バックフィル累積 を検収。ルートは収集中に応答不能だった→「待たない」運用へ。,社長,ルート→社長,-,段階2稼働・週末全量バックフィル中,2026-9-5,PENDING#85,doing
T086,クロからルートのDBを読む経路の設計（チャッピー諮問）＋ルートのroles/owner縮小（9/4 社長指示「サーバへのアクセスはチャッピー案件かもしれない」）,チャッピーのBQ設計7判断に回答（9/5）: 判断6を修正＝クロ専用主体は作らずルートがDriveへ層B出力を書き出す経路。BQ読取は社長アカウント。ゲートC/D（投入・IAM）は社長の明示承認待ち。roles/owner縮小は監査後。,チャッピー,チャッピー,-,設計回答済・ゲートC/D社長承認済（A/E/F待ち）,2026-9-5,PENDING#86,doing
T087,立て直し（9/5 社長決定）：一旦止めて三層一台帳へ。まずRIN中心,9/5 社長「それでお願いします」＝進行確定。済＝POLICY v1.1（正本ブランチ・5語・棚卸し・アーカイブ・使い捨て・退役条件）・ledger.py stale/archive・巡回便手順(0)。残＝9/6 更新時刻列（2時間判定）・番台生成スクリプト・quality_daily仕様／9/7朝 社長がUIで四代目の巡回便（新規セッション版・文面は TRIGGERS_BACKUP.md 末尾）を作成→四代目2巡回で failed検知→再投入を実演→三代目退役（月次2本の付け替え）。,クロ,クロ,9/6（土日の土台）,進行中,2026-9-5,PENDING#87,doing
T088,巡回便の増便（今週限り・9/5社長「使用量8%・巡回便の数が開発スピード」）,1日5回→2時間おき9回（07:01〜23:01）に再変更（9/5 15:45 社長「次回はもっと早いんじゃないかな」）。9/12 09:10 に2回へ戻す予約。,クロ,-,9/12,実施中,2026-9-5,司令塔,doing
T089,番台の毎朝手更新を停止→tasks.csvからのスクリプト生成へ（9/5社長「一旦止めて更新箇所を絞る」）,シルベの番台更新手順を外し、ハイライト3行を docs/ledger/highlights.md へ追記する方式に変更済み。9/6 クロが tools/build_bandai.py を作る＝入力 tasks.csv・messages.csv・highlights.md、出力 bandai.html。KPIタイル等は数字のファイルがある項目だけ出す（無いものは出さない）。,クロ,クロ,9/6,着手,2026-9-5,司令塔,todo
T090,整理係「ハコ」（Cowork・社長が9/5新設）の立ち上げ,9/5 19:15 クロの誤り訂正＝渡した_archive IDは 01_data/chatwork_DB/_archive だった（共有ドライブ直下に_archiveは無く 99_archive が正）。ハコは掟どおり停止（正しい）。訂正文書を置き、移動先を 99_archive/INBOX整理_2026-09-05/文書・原本 に変更。chatwork_DB内の空フォルダ2つは月初棚卸しで片づける。,社長,社長→ハコ,9/5,訂正発行・ハコ再実行待ち（v1.2報告）,2026-9-5,司令塔,doing
T091,リンのFMP時代データ（RINに無い旧データ）をresow.dbへ引き取り・無期限保管（9/5社長指示）,ルートへ取り込み（system='FMP'行・fmp_user_xwalk・plan・working_rate）と原本5点の無期限保管を指示、チャッピーへライフサイクル無し保管先の設計を依頼。9/6 結果報告を検収（README件数との突合）。,ルート,ルート／チャッピー,9/6,指示済,2026-9-5,司令塔,doing
T092,JVA（第26回 Japan Venture Awards）1次通過→2次審査書類（9/24 17時必着）,作成は社長の応募チャットに任せる（9/5 社長「出来上がってきたのをチェックする体制」）。クロは書かない。出来た5点を 00_INBOX に置いてもらい、クロが検収（期限・枚数・数字の整合・財務諸表の期）→社長が9/24 17時までに送付。,社長（応募チャット）,応募チャット→クロ検収→社長送付,9/24,応募チャットで作成中・クロは検収待ち,2026-9-5,Gmail:1a06b2adae76f146,blocked
T093,事業再構築補助金 事業化状況・知的財産権報告書（様式第13）提出期限 9/30,クロは書かない。木村さんの着手状況を社長が確認→報告システムの入力は木村さん→完了画面のスクショを INBOX へ→クロが「報告完了」押し忘れが無いかだけ確認。期限9/30。,社長→木村さん,社長→木村さん,9/30,状況不明・確認要,2026-9-5,Gmail:19f369ff6b933734,blocked
T094,成長加速化補助金 3次公募（申請受付 9/29〜10/29）の応募可否,クロは要件確認と検収のみ。応募するなら事業計画は応募チャット＋認定支援機関。判断材料＝ワンダー2025年12月期売上（10億要件）・100億宣言の公表要否。9/12までに社長判断。,社長（応募チャット）,社長判断（応募するか）→応募チャット→クロ検収,9/12,起票・要領確認,2026-9-5,Gmail:1a02174a07db18a1,blocked
T095,チャッピー提案の高速連携サイクル（2時間・クロ:00→チャッピー:30→ルート:00・16サイクル）,受け入れ。クロは各回 :10 までに「クロより_サイクルN」文書を置く（無い回は前回のまま）。サイクル1（17:00）を発行済み。次＝19:00。,クロ,クロ,9/6,進行中,2026-9-5,司令塔,doing
T096,Mac非依存の指示経路（VMが指示ファイルを自分で読む・層A自走）,9/5 22:00 チャッピーへ設計依頼（GCS/Drive上の指示ファイル・10分おきタイマー・allowlist 4種・監査ログ）。9/6 設計案→バックフィル完了後に実装。完成で臨時命令もMac不要。,チャッピー,チャッピー→ルート,9/6,設計依頼済,2026-9-5,司令塔
